id,first_name,last_name,image,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,election,first_year_elected,last_year_elected,percent_vote,notes
4922,Francine O'Brien,Andersen,,F,C,10,Yes,Not Sure,No,,IA - Audubon - 2018,,2014,,
6992,Devon,Anderson,,F,C,26,Yes,Yes,No,Yes,TX - Harris - 2016,2013,2014,,
6510,Brigham McKinley,Anderson,,M,C,26,Yes,Yes,No,U,OH - Lawrence - 2016,,2012,,
5375,Justin,Anderson,,M,C,19,Yes,Not Sure,No,,MN - Grant - 2018,,2014,,
5366,Nick,Anderson,,M,C,19,Yes,Not Sure,No,,MN - Cottonwood - 2018,2011,2014,,
5267,Frederick,Anderson,,M,C,26,Yes,No,No,,MI - Allegan - 2016,1993,2012,,
5223,Stephanie,Anderson,,F,C,26,Yes,Not Sure,No,,ME - District 2 - 2018,,2014,,
4417,Don,Anderson,,M,C,19,Yes,Not Sure,No,,CA - Lake - 2018,2011,2014,,
4312,Tom,Anderson,,M,C,26,Yes,Yes,No,U,AL - 12th Circuit - 2016,2011,2010,,http://www.alreporter.com/five-elected-officials-switch-to-gop/
4301,Scott,Anderson,,M,C,26,Yes,Yes,No,U,AL - 8th Circuit - 2016,2011,2010,,
6648,Scott,Andreassi,,M,C,10,Yes,Not Sure,No,,PA - Armstrong - 2017,1998,2013,,
4447,Kirk,Andrus,,M,C,19,Yes,Not Sure,No,,CA - Siskiyou - 2018,2005,2014,,
7707,Michaela,Andruzzi,,F,C,10,No,Yes,No,U,NH - Carroll - 2016,,,,
4362,Kenneth,Angle,,M,C,26,Yes,Yes,No,U,AZ - Graham - 2016,,2012,,
6760,Elton,Anson,,M,C,26,Yes,Yes,No,U,SD - Hand - 2016,,2012,,
7694,Jonathan,Apirion,,M,C,15,No,Yes,No,U,AZ - Coconino - 2016,,,,
4526,Phil,Archer,,M,C,26,Yes,Yes,No,U,FL - 18th Circuit - 2016,2013,2012,,
5720,Warren,Arganbright,,M,C,26,Yes,Not Sure,No,,NE - Thomas - 2018,,2014,,
7703,Lisa,Arin,,F,C,19,No,Yes,No,No,HI - Kauai - 2016,,,41,
7492,Anne Marie,Armstrong,,F,Not Sure,26,No,Yes,No,No,WV - Wood - 2016,,,,
6802,Dan,Armstrong,,M,C,26,Yes,Not Sure,No,,TN - District 3 - 2022,,2014,,"August is final election for TN District Attorneys, not November"
6683,David,Arnold,,M,C,26,Yes,Not Sure,No,,PA - Lebanon - 2017,,2013,,
4844,Jeffrey,Arnold,,M,C,26,Yes,Not Sure,No,,IN - Delaware - 2018,,2014,,
4520,Dave ,Aronberg,,M,C,10,Yes,Yes,No,U,FL - 15th Circuit - 2016,2013,2012,,
7268,Gerald Douglas,Arrington,,M,C,10,Yes,Not Sure,No,,VA - Buchanan - 2019,,2015,,
6354,Valerie,Asbell,,F,C,10,Yes,Not Sure,No,,NC - District 6 - 2018,,2014,,
5273,Kurt,Asbury,,M,C,10,Yes,No,No,,MI - Bay - 2016,2006,2012,,
7606,Brendan,Ash,,M,C,26,No,Yes,No,No,ID - Gooding - 2016,,,,
7445,Scott A.,Ash,,M,C,10,Yes,No,No,,WV - Mercer - 2016,2012,2012,,Ran unopposed in 2012
7453,Marcia,Ashdown,,F,C,10,Yes,No,No,,WV - Monongalia - 2016,,2012,,
5542,Ken,Ashlock,,M,C,26,Yes,Not Sure,No,,MO - Polk - 2018,2011,2014,,
4511,Jeffrey,Ashton,,M,C,10,Yes,Yes,No,No,FL - 9th Circuit - 2016,2013,2012,,defeated six term incumbent in D primary
5515,Leah Wommack,Askey,,F,C,10,Yes,Not Sure,No,,MO - Lincoln - 2018,,2014,,
6604,R. Stephen,Atchison,,M,C,19,Yes,Not Sure,No,,OR - Columbia - 2018,,2014,,Oregon nonpartisan DA elections are final in the May primary
4820,Denton,Aud,,M,C,26,Yes,Yes,No,U,IL - White - 2016,2013,2012,,
4908,Bruce,Aukerman,,M,C,10,Yes,Not Sure,No,,IN - Vermillion - 2018,,2014,,
5387,Laura,Auron,,F,C,19,Yes,Not Sure,No,,MN - Lake - 2018,,2014,,
5388,James,Austad,,M,C,19,Yes,Not Sure,No,,MN - Lake of the Woods - 2018,,2014,,
4512,Aramis Donell,Ayala,,F,AA,10,No,Yes,No,Yes,FL - 9th Circuit - 2016,,,,
5284,Everette,Ayers,,M,C,26,Yes,Yes,No,No,MI - Crawford - 2016,2009,2012,,
5202,Ricky,Babin,,M,C,26,Yes,Not Sure,No,,LA - 23rd District - 2020,,2014,,
5368,James,Backstrom,,M,C,19,Yes,Not Sure,No,,MN - Dakota - 2018,,2014,,
5349,Anthony,Badovinac,,M,C,26,Yes,Yes,No,No,MI - Wexford - 2016,2013,2012,,
7163,Mike,Bagley,,M,Not Sure,26,No,Yes,No,U,TX - 63rd Judicial District - 2016,,,,
5266,Karen,Bahrman,,F,C,26,Yes,Yes,No,U,MI - Alger - 2016,2003,2012,,
7851,Charles,Bailey,,M,C,10,Yes,Yes,No,,TX - Morris - 2016,,2012,,
6877,Charles,Bailey,,M,C,26,Yes,Yes,No,Yes,TX - 76th Judicial District - 2016,1986,2012,,Running unopposed.
6491,Bradford,Bailey,,M,C,26,Yes,Yes,No,U,OH - Hardin - 2016,,2012,,
4315,Daryl,Bailey,,M,C,10,Yes,Yes,Yes,U,AL - 15th Circuit - 2016,2014,,,
5578,David,Baird,,M,C,10,Yes,Not Sure,Yes,,MO - Worth - 2018,2011,2014,,
7285,C. Seth,Baker,,M,C,26,Yes,Not Sure,No,,VA - Dickenson - 2019,,2015,,
6332,Brooks,Baker,,M,C,26,Yes,Not Sure,No,,NY - Steuben - 2019,2012,2015,,
5506,Jean Peters,Baker,,F,C,10,Yes,Yes,No,U,MO - Jackson - 2016,2011,2012,,
5383,Shane,Baker,,M,C,19,Yes,Not Sure,No,,MN - Kandiyohi - 2018,2013,2014,,
4858,Patricia,Baldwin,,F,C,26,Yes,Not Sure,No,,IN - Hendricks - 2018,,2014,,
6584,Matt,Ballard,,M,C,26,Yes,Not Sure,No,,OK - District 12 - 2018,,2014,,
4556,Scott,Ballard,,M,C,26,Yes,No,No,,GA - Griffin - 2016,2005,2012,,
5204,Charles,Ballay,,M,C,10,Yes,Not Sure,No,,LA - 25th District - 2020,,2014,,
7736,Annette,Bama,,F,C,10,No,Yes,No,U,WI - Rusk - 2016,,,,
7387,Greg,Banks,,M,C,19,Yes,Not Sure,No,,WA - Island - 2018,,2014,,
6383,Seth,Banks,,M,C,26,Yes,Not Sure,No,,NC - District 24 - 2018,,2014,,
5169,Edison,Banks,,M,C,26,Yes,Not Sure,No,,KY - 47th Circuit - 2018,2001,2012,,
7607,Belinda,Barbier,,F,C,10,No,Yes,No,U,MI - Lake - 2016,,,,
5470,Kevin,Barbour,,M,C,26,Yes,Not Sure,No,,MO - Butler - 2018,1999,2014,,
7608,Jon Neil,Barclay,,M,C,10,No,No,No,,CO - 3rd District - 2016,,,,
7394,Jeff,Barkdull,,M,Not Sure,26,Yes,Not Sure,No,,WA - Lincoln - 2018,,2014,,
4487,Brett,Barkey,,M,C,26,Yes,Yes,No,U,CO - 14th District - 2016,2013,2012,,
7416,Joseph,Barki,,M,C,10,Yes,Yes,No,U,WV - Brooke - 2016,,2012,,
4647,Jonathan,Barnard,,M,C,26,Yes,No,No,,IL - Adams - 2016,2005,2012,,
6457,Steven,Barnett,,M,Not Sure,26,No,Yes,No,Yes,OH - Carroll - 2016,,,,
6720,Barry,Barnette,,M,C,26,Yes,Yes,No,U,SC - 7th Circuit - 2016,,2012,,
4589,George,Barnhill,,M,C,26,Yes,Not Sure,No,,GA - Waycross - 2018,2013,2014,,http://jacksonville.com/news/georgia/2014-05-10/story/appointed-das-dui-arrests-become-big-issue-upcoming-republic-primary
7575,Joseph,Baron,,M,C,10,Yes,Not Sure,No,,WY - Crook - 2018,,,,
7248,Jennifer,Barrett,,F,C,26,Yes,Not Sure,No,,VT - Orleans - 2018,,2014,,
6653,Daniel,Barrett,,M,C,26,Yes,Not Sure,No,,PA - Bradford - 2019,,2015,,
6597,Rob,Barris,,M,C,10,Yes,Not Sure,No,,OK - District 25 - 2018,,2014,,
5645,Francis,Barron III,,M,Not Sure,26,Yes,Not Sure,No,,NE - Burt - 2018,,2014,,
5157,Rick,Bartley,,M,C,10,Yes,Not Sure,No,,KY - 35th Circuit - 2018,2007,2012,,
6757,Amy,Bartling,,F,C,26,Yes,Yes,No,U,SD - Gregory - 2016,,2012,,
4831,Kevin,Basey,,M,C,26,Yes,Not Sure,No,,IN - Blackford - 2018,,2014,,
7286,Ann Cabell,Baskervill,,F,C,19,Yes,Not Sure,No,,VA - Dinwiddie - 2019,,2015,,
5038,Charles,Baskins,,M,C,26,Yes,Not Sure,No,,KS - Doniphan - 2016,,,,
5673,Cindy,Bassett,,F,C,10,Yes,Not Sure,No,,NE - Greeley - 2018,,2014,,"Appears to be a progressive, with comments about gay marriage and extolling legal aid, moved from the big city https://www.facebook.com/search/top/?q=cindy%20bassett%20nebraska"
6519,Julia,Bates,,F,C,10,Yes,Yes,No,U,OH - Lucas - 2016,,2012,,
5450,Deweitt,"Bates, Jr.",,M,C,10,Yes,Not Sure,No,,MS - District 14 - 2019,,2015,,
4786,Robert,Bateson,,M,C,26,No,Yes,No,U,IL - Pope - 2016,,,,
4382,Blake,Batson,,M,C,19,Yes,Not Sure,No,,AR - 9th District East - 2018,,2014,,"May is final election for prosecutors in AR, not November"
4759,Paul,Bauer,,M,C,26,Yes,Yes,No,U,IL - Marshall - 2016,2004,2012,,
4652,Christopher,Bauer,,M,C,10,Yes,Yes,No,U,IL - Bond - 2016,,2012,,
6833,Art,Bauereiss,,M,C,26,Yes,No,No,,TX - 159th Judicial District - 2016,,2012,,
7507,Timothy,Baxter,,M,C,10,Yes,Yes,No,U,WI - Crawford - 2016,,2012,,
6473,Kevin,Baxter,,M,C,10,Yes,Yes,No,U,OH - Erie - 2016,,2012,,
5134,Courtney,Baxter,,F,C,26,Yes,Not Sure,No,,KY - 12th Circuit - 2018,,2012,,
7728,Galen,Bayne-Allison,,M,C,10,No,Yes,No,Yes,WI - Lincoln - 2016,,,,
4963,Jon,Beaty,,M,C,26,Yes,Not Sure,No,,IA - Humboldt - 2018,,2014,,
6614,Tim,Beaubien,,M,C,19,No,Yes,No,No,OR - Harney - 2016,,,,
4361,Bradley,Beauchamp,,M,C,26,Yes,Yes,No,U,AZ - Gila - 2016,2013,2012,,
4946,Amy,Beavers,,F,C,10,Yes,Not Sure,No,,IA - Des Moines - 2018,,2014,,
6753,Vaughn,Beck,,M,C,26,Yes,Yes,Yes,Yes,SD - Edmunds - 2016,,,,
7609,Chris,Becker,,M,C,26,No,Yes,No,U,MI - Kent - 2016,,,,
5612,Bruce,Becker,,M,C,19,Yes,Not Sure,No,,MT - Park - 2018,,2014,,
4953,Corey,Becker,,M,C,26,Yes,Not Sure,No,,IA - Fremont - 2018,,2014,,
6883,Elmer,Beckworth,,M,C,26,No,Yes,No,Yes,TX - 2nd Judicial District - 2016,,,,
6492,Owen,Beetham,,M,C,26,Yes,Yes,No,U,OH - Harrison - 2016,,2012,,
6630,Walt,Beglau,,M,C,19,Yes,Not Sure,No,,OR - Marion - 2018,,2014,,Oregon nonpartisan DA elections are final in the May primary
7780,H. Scott,Beims,,M,C,26,No,Yes,No,,KS - Rawlins - 2016,,,,
4866,Brian ,Belding,,M,C,26,Yes,Not Sure,No,,IN - Jennings - 2018,,2014,,
7303,Anton Arnett,Bell,,M,AA,10,Yes,Not Sure,No,,VA - Hampton City - 2017,,2013,,
7017,Robert,Bell,,M,C,26,Yes,Not Sure,No,,TX - Jackson - 2018,,2014,,racist prosecutions in the past http://www.austinchronicle.com/news/2005-10-21/301887/
6389,Ted,Bell,,M,C,26,Yes,Not Sure,No,,NC - District 29A - 2018,,2014,,
6386,Locke,Bell,,M,C,26,Yes,Not Sure,No,,NC - District 27A - 2018,,2014,,note abuse: http://thinkprogress.org/immigration/2015/05/09/3657080/north-carolina-district-attorney-u-visa-latino/
5684,Melodie,Bellamy,,F,C,26,Yes,Not Sure,No,,NE - Kearney - 2018,,2014,,
5740,Angela,Bello,,F,C,26,Yes,Not Sure,No,,NV - Nye - 2018,,2014,,
7236,Brock,Belnap,,M,C,26,Yes,Not Sure,No,,UT - Washington - 2018,,2014,,
5182,John,Belton,,M,AA,19,Yes,Not Sure,No,,LA - 3rd District - 2020,,2014,,
5060,Jason,Belveal,,M,C,26,Yes,Yes,No,No,KS - Jefferson - 2016,,,,
6695,Andrew,Bender,,M,C,39,Yes,Not Sure,No,,PA - Perry - 2019,2016,2015,,
6345,Bruce,Bendish,,M,C,26,No,Yes,No,,NY - Westchester - 2016,,,,http://www.nytimes.com/2016/03/21/nyregion/four-candidates-seek-westchester-county-district-attorney-post.html
4993,Ann,Beneke,,F,C,26,Yes,Not Sure,No,,IA - Pocahontas - 2018,,2014,,
7438,John,Bennett,,M,C,10,Yes,Yes,No,U,WV - Logan - 2016,,2012,,
5103,Marc,Bennett,,M,C,26,Yes,Yes,No,U,KS - Sedgwick - 2016,,2012,,
4594,Jan,Bennetts,,F,C,26,Yes,Yes,Yes,Yes,ID - Ada - 2016,2014,,,
7564,Mark,Bensen,,M,C,26,Yes,Yes,No,U,WI - Washington - 2016,,2012,,
6344,Mitch,Benson,,M,C,26,No,Yes,No,,NY - Westchester - 2016,,,,http://www.nytimes.com/2016/03/21/nyregion/four-candidates-seek-westchester-county-district-attorney-post.html
5011,Jennifer,Benson,,F,C,10,Yes,Not Sure,No,,IA - Webster - 2018,,2014,,
4781,Matthew,Benson,,M,C,10,No,Yes,No,U,IL - Perry - 2016,,,,
6396,Asmunder Swain,Benson III,,M,C,19,Yes,Not Sure,No,,ND - Bottineau - 2018,,2014,,
4956,Mary,Benton,,F,C,10,Yes,Not Sure,No,,IA - Guthrie - 2018,,2014,,
7497,Angela,Beranek,,F,C,10,Yes,Yes,No,Yes,WI - Barron - 2016,2004,2012,,http://www.news-shield.com/news/article_590ebf1c-eb80-11e5-bd63-f74f58cb8d26.html
4421,Edward,Berberian,,M,C,19,Yes,Not Sure,No,,CA - Marin - 2018,2005,2014,,
5113,Kevin,Berens,,M,C,26,Yes,No,No,,KS - Thomas - 2016,,,,
4859,Joseph,Bergacs,,M,C,26,Yes,Not Sure,No,,IN - Henry - 2018,,2014,,
5596,Carolyn,Berkram,,F,C,10,Yes,Not Sure,No,,MT - Glacier - 2018,,2014,,
5576,Benjamin,Berkstresser,,M,C,26,Yes,Not Sure,No,,MO - Webster - 2018,,,,
4687,Robert,Berlin,,M,C,26,Yes,Yes,No,U,IL - DuPage - 2016,,2012,,
4945,John,Bernau,,M,C,26,Yes,Not Sure,No,,IA - Delaware - 2018,,2014,,
7320,Clarissa,Berry,,F,C,19,Yes,Not Sure,No,,VA - Madison - 2019,,2015,,
6644,Bradley,Berry,,M,C,19,Yes,Yes,No,Yes,OR - Yamhill - 2016,,2012,,Oregon nonpartisan DA elections are final in the May primary
6509,Werner,Berthol,,M,Not Sure,10,No,Yes,No,U,OH - Lake - 2016,,,,
7857,John,Best,,M,C,26,No,Yes,No,,TX - Tom Green - 2016,,,,
6899,John,Best,,M,C,26,No,Yes,No,Yes,TX - 119th Judicial District - 2016,,,,
5374,Stephen,Betcher,,M,C,19,Yes,Not Sure,No,,MN - Goodhue - 2018,,2014,,
5734,Ted,Beutel,,M,C,26,Yes,Not Sure,No,,NV - Eureka - 2018,,2014,,
7773,Tracey ,Beverlin,,F,C,26,No,Yes,No,Yes,KS - Pratt - 2016,,,,
6426,Ryan,Bialas,,M,C,19,Yes,Not Sure,Yes,,ND - Pembina - 2018,2015,,,http://www.wdaz.com/news/north-dakota/3665234-three-finalists-named-pembina-county-searches-states-attorney-replacement
4749,Louis,Bianchi,,M,C,26,Yes,No,No,,IL - McHenry - 2016,2004,2012,,
6487,Kent,Biegler,,M,C,10,No,Yes,No,U,OH - Guernsey - 2016,,,,
7407,Dan,Bigelow,,M,C,10,Yes,Not Sure,No,,WA - Wahkiakum - 2018,,2014,,
7760,Chris,Biggs,,M,C,10,No,Yes,No,U,KS - Geary - 2016,,,,
4321,Casey Nicole,Biggs,,F,C,26,No,Yes,No,No,AL - 19th Circuit - 2016,,,,
7352,Chris,Billias,,M,C,26,Yes,Not Sure,No,,VA - Lexington City - Rockbridge County - 2019,,2015,,
4327,Stephen,Billy,,M,C,10,Yes,Yes,No,U,AL - 21st Circuit - 2016,1995,2010,,
6421,Jessica,Binder,,F,C,19,Yes,Not Sure,No,,ND - Mercer - 2018,,2014,,
7734,Thomas,Binger,,M,C,10,No,Yes,No,U,WI - Racine - 2016,,,,
7148,Matthew,Bingham,,M,C,26,Yes,Yes,No,,TX - Smith - 2018,,2014,,
7358,Travis,Bird,,M,C,26,Yes,Not Sure,No,,VA - Spotsylvania - 2019,,2015,,
7105,Kent,Birdsong,,M,C,26,Yes,Yes,Not Sure,U,TX - Oldham - 2016,,,,
6548,Gary,Bishop,,M,C,26,No,Yes,No,U,OH - Richland - 2016,,,,
7562,J. Michael,Bitney,,M,C,26,Yes,No,No,,WI - Washburn - 2016,,2012,,
6828,Phillip,Bivins,,M,C,19,Yes,Not Sure,No,,TN - District 29 - 2022,,2014,,"August is final election for TN District Attorneys, not November"
5330,Joseph,Bizon,,M,C,26,Yes,Yes,No,U,MI - Oceana - 2016,2013,2012,,
7774,Tom,Black,,M,C,26,No,Yes,No,No,KS - Pratt - 2016,,,,
5268,K. Edward,Black,,M,C,10,Yes,Yes,No,U,MI - Alpena - 2016,2009,2012,,
5110,David,Black,,M,C,26,Yes,Yes,No,U,KS - Stanton - 2016,,,,
4381,Stephanie,Black,,F,C,19,Yes,Not Sure,No,,AR - 8th District South - 2018,2015,2014,,"May is final election for prosecutors in AR, not November"
6450,Keller,Blackburn,,M,C,10,Yes,Yes,No,U,OH - Athens - 2016,,2012,,
4883,Eric,Blackman,,M,C,26,Yes,Not Sure,No,,IN - Noble - 2018,,2014,,
7567,Scott,Blader,,M,C,26,Yes,Yes,No,,WI - Waushara - 2016,,2012,,
7759,Krista,Blaisdell,,F,C,26,No,Yes,No,U,KS - Geary - 2016,,,,
6937,Robert,Bland IV,,M,C,26,Yes,Yes,No,Yes,TX - 70th Judicial District - 2016,,2012,,
7511,Daniel,Blank,,M,C,10,Yes,Yes,No,No,WI - Douglas - 2016,,2012,,
5164,Mark,Blankenship,,M,C,10,Yes,Not Sure,No,,KY - 42nd Circuit - 2018,,2012,,
4341,Wilson,Blaylock,,M,C,26,Yes,Yes,No,U,AL - 32nd Circuit - 2016,,2010,,
6369,Craig,Blitzer,,M,C,26,Yes,Not Sure,No,,NC - District 17A - 2018,,2014,,
5257,Jonathan,Blodgett,,M,C,10,Yes,Not Sure,No,,MA - Essex (Eastern) - 2018,2002,2014,,
4979,James,Blomgren,,M,C,26,Yes,Not Sure,Yes,,IA - Mahaska - 2018,2015,2014,,
5166,Karen,Blondell,,F,C,26,Yes,Not Sure,No,,KY - 44th Circuit - 2018,,2012,,
6485,Joe,Blue,,M,Not Sure,26,No,Yes,No,Yes,OH - Guernsey - 2016,,,,
7029,Joe Edd,Boaz,,M,C,26,Yes,Yes,No,Yes,TX - 259th Judicial District - 2016,,2012,,
5124,Daniel,Boaz,,M,C,10,Yes,Not Sure,No,,KY - 2nd Circuit - 2018,,2012,,
5725,Sara,Bockstadter,,F,C,26,Yes,Not Sure,No,,NE - Webster - 2018,,2014,,
5699,Sara,Bockstadter,,F,C,26,Yes,Not Sure,Yes,,NE - Nuckolls - 2018,2015,,,
7770,Courtney,Boehm,,F,C,26,No,Yes,No,U,KS - Marion - 2016,,,,
5613,Monte,Boettger,,M,C,19,Yes,Not Sure,Yes,,MT - Petroleum - 2018,,,,
5148,Parker,Boggs,,M,C,10,Yes,Not Sure,No,,KY - 26th Circuit - 2018,2013,2012,,
6746,Eric,Bogue,,M,C,19,Yes,Yes,No,U,SD - Corson - 2016,,2012,,
7495,Tania,Bonnett,,F,C,19,Yes,Yes,No,U,WI - Adams - 2016,,2012,,
4892,Timothy,Bookwalter,,M,C,26,Yes,Not Sure,No,,IN - Putnam - 2018,,2014,,
6433,Lyle,Bopp,,M,C,19,Yes,Not Sure,No,,ND - Sargent - 2018,,2014,,
7483,John L.,Bord,,M,C,26,Yes,Yes,No,U,WV - Taylor - 2016,,2012,,
4783,Zachary,Boren,,M,C,26,Yes,Yes,No,U,IL - Pike - 2016,2014,2014,,
6598,Christopher,Boring,,M,C,26,Yes,Not Sure,No,,OK - District 26 - 2018,,2014,,Boring won Republican primary 
6572,Mike,Boring,,M,C,26,Yes,Not Sure,No,,OK - District 1 - 2018,,2014,,
5609,Marcia,Boris,,F,C,26,Yes,Not Sure,No,,MT - Mineral - 2018,,2014,,
6755,Timothy,Bormann,,M,C,26,Yes,Yes,No,U,SD - Faulk - 2016,,2012,,
7610,Nancy,Borushko,,F,C,10,No,Yes,No,Yes,MI - Bay - 2016,,,,
7869,Paul,Boschma,,M,C,19,No,Yes,No,,SD - Bon Homme - 2016,,,,
4331,John,Bostick,,M,C,10,Yes,Yes,No,U,AL - 25th Circuit - 2016,2001,2010,,
4582,Sherry,Boston,,F,AA,10,No,Yes,No,Yes,GA - Stone Mountain - 2016,,,,http://politics.blog.ajc.com/2015/09/16/sherry-boston-to-challenge-robert-james-in-dekalb-da-race/ http://www.dailyreportonline.com/id=1202551226530/Sherry-Boston-is-new-DeKalb-SG
5172,Richie,Bottoms,,M,C,10,Yes,Not Sure,No,,KY - 50th Circuit - 2018,,2012,,
7503,Nicholas,Botz,,M,C,26,Yes,Yes,No,No,WI - Calumet - 2016,,2012,,
4900,Nicholas,Bourff,,M,C,10,Yes,Not Sure,No,,IN - Starke - 2018,2010,2014,,
7498,Fred,Bourg,,M,C,10,Yes,Yes,No,No,WI - Bayfield - 2016,,2012,,
4584,C. Paul,Bowden,,M,C,26,Yes,Yes,No,U,GA - Tifton - 2016,,2012,,
7323,Tom,Bowen,,M,C,19,Yes,Not Sure,No,,VA - Mathews - 2019,,2015,,
6671,Richard,Bower,,M,C,39,Yes,Not Sure,No,,PA - Fayette - 2019,2016,2015,,
4669,Brian ,Bower,,M,C,26,Yes,Not Sure,No,,IL - Coles - 2016,2012,2012,,
7354,Thomas Edward,Bowers,,M,C,10,Yes,Not Sure,No,,VA - Salem City - 2017,,2013,,
5655,Steven,Bowers,,M,C,26,Yes,Not Sure,No,,NE - Custer - 2018,,2014,,
6370,Ricky,Bowman,,M,C,10,Yes,Not Sure,No,,NC - District 17B - 2018,1996,2014,,
5463,Amy,Boxx,,F,C,26,Yes,Not Sure,No,,MO - Barry - 2018,2015,2014,,
4375,Henry,Boyce,,M,C,19,Yes,Not Sure,No,,AR - 3rd District - 2018,2003,2014,,"May is final election for prosecutors in AR, not November"
6904,Dusty,Boyd,,M,C,26,Yes,Yes,No,Yes,TX - 52nd Judicial District - 2016,,2012,,
5564,Paul R.,Boyd,,M,C,10,Yes,Not Sure,No,,MO - Scott - 2018,,2014,,
4726,Jamie,Boyd,,M,C,26,Yes,No,No,,IL - Kankakee - 2016,,2012,,
