county,county_dist,eo
Kinney,63rd Judicial District,Guadalupe
Knox,50th Judicial District,Hale
La Salle,81st Judicial District,Hall
Leon,369th Judicial District,Hamilton
Liberty,253rd Judicial District,Hansford
Lipscomb,31st Judicial District,Hardeman
Live Oak,156th Judicial District,Hardin
Llano,33rd Judicial District,Harris
Loving,143rd Judicial District,Harrison
Lynn,106th Judicial District,Hartley
Martin,118th Judicial District,Haskell
Mason,452nd Judicial District,Hays
Matagorda,23rd Judicial District,Hemphill
Maverick,293rd Judicial District,Henderson
McCulloch,452nd Judicial District,Hidalgo
McMullen,156th Judicial District,Hill
Medina,38th Judicial District,Hockley
Menard,452nd Judicial District,Hood
Midland,142nd Judicial District,Hopkins
Mills,35th Judicial District,Houston
Mitchell,32nd Judicial District,Howard
Montague,97th Judicial District,Hudspeth
Montgomery,9th Judicial District,Hunt
Moore,69th Judicial District,Hutchinson
Motley,110th Judicial District,Irion
Nacogdoches,145th Judicial District,Jack
Nolan,32nd Judicial District,Jackson
Nueces,105th Judicial District,Jasper
Palo Pinto,29th Judicial District,Jeff Davis
Parker,43rd Judicial District,Jefferson
Parmer,287th Judicial District,Jim Hogg
Potter,47th Judicial District,Jim Wells
Presidio,83rd Judicial District,Johnson
Reagan,112th Judicial District,Jones
Real,38th Judicial District,Karnes
Reeves,143rd Judicial District,Kaufman
Refugio,24th Judicial District,Kendall
Roberts,31st Judicial District,Kenedy
Runnels,119th Judicial District,Kent
Sabine,1st Judicial District,Kerr
San Augustine,1st Judicial District,Kimble 
San Patricio,36th Judicial District,King
San Saba,33rd Judicial District,Kinney
Schleicher,51st Judicial District,Kleberg
Scurry,132nd Judicial District,Knox
Shackelford,259th Judicial District,La Salle
Shelby,123rd Judicial District,Lamar
Sherman,69th Judicial District,Lamb
Starr,229th Judicial District,Lampasas
Stephens,90th Judicial District,Lavaca
Sterling,51st Judicial District,Lee
Stonewall,39th Judicial District,Leon
Sutton,112th Judicial District,Liberty
Terrell,63rd Judicial District,Limestone
Throckmorton,39th Judicial District,Lipscomb
Titus,76th Judicial District,Live Oak
Travis,53rd Judicial District,Llano
Trinity,258th Judicial District,Loving
Upton,112th Judicial District,Lubbock
Uvalde,38th Judicial District,Lynn
Val Verde,63rd Judicial District,Madison
Ward,143rd Judicial District,Marion
Washington,21st Judicial District,Martin
Webb,49th Judicial District,Mason
Wharton,329th Judicial District,Matagorda
Wheeler,31st Judicial District,Maverick
Wilbarger,46th Judicial District,McCulloch
Williamson,26th Judicial District,McLennan
Wilson,81st Judicial District,McMullen
Winkler,109th Judicial District,Medina
Wise,271st Judicial District,Menard
Young,90th Judicial District,Midland
Zapata,49th Judicial District,Milam
Zavala,293rd Judicial District,Mills
,,Mitchell
,,Montague
,,Montgomery
,,Moore
,,Morris
,,Motley
,,Nacogdoches
,,Navarro
,,Newton
,,Nolan
,,Nueces
,,Ochiltree
,,Oldham
,,Orange
,,Palo Pinto
,,Panola
,,Parker
,,Parmer
,,Pecos
,,Polk
,,Potter
,,Presidio
,,Rains
,,Randall
,,Reagan
,,Real
,,Red River
,,Reeves
,,Refugio
,,Roberts
,,Robertson
,,Rockwall
,,Runnels
,,Rusk
,,Sabine
,,San Augustine
,,San Jacinto
,,San Patricio
,,San Saba
,,Schleicher
,,Scurry
,,Shackelford
,,Shelby
,,Sherman
,,Smith
,,Somervell
,,Starr
,,Stephens
,,Sterling
,,Stonewall
,,Sutton
,,Swisher
,,Tarrant
,,Taylor
,,Terrell
,,Terry
,,Throckmorton
,,Titus
,,Tom Green
,,Travis
,,Trinity
,,Tyler
,,Upshur
,,Upton
,,Uvalde
,,Val Verde
,,Van Zandt
,,Victoria
,,Walker
,,Waller
,,Ward
,,Washington
,,Webb
,,Wharton
,,Wheeler
,,Wichita
,,Wilbarger
,,Willacy
,,Williamson
,,Wilson
,,Winkler
,,Wise
,,Wood
,,Yoakum
,,Young
,,Zapata
,,Zavala
