State,Electoral.District,Office.Name,Official.Name,Sex,Race,Data.Version
CA,Placer County,District Attorney,Scott Owens,Male,White,summer_14
CA,Plumas County,District Attorney,David Hollister,Male,White,summer_14
CA,Riverside County,District Attorney,Paul Zellerbach,Male,White,summer_14
CA,Sacramento County,District Attorney,Jan Scully,Female,White,summer_14
CA,San Benito County,District Attorney,Candice Hooper,Female,White,summer_14
CA,San Bernardino County,District Attorney,Michael Ramos,Male,Hispanic or Latino,summer_14
CA,San Diego County,District Attorney,Bonnie Dumanis,Female,White,summer_14
CA,San Francisco County,District Attorney,George Gascon,Male,Hispanic or Latino,summer_14
CA,San Joaquin County,District Attorney,James Willett,Male,White,summer_14
CA,San Luis Obispo County,District Attorney,Gerald Shea,Male,White,summer_14
CA,San Mateo County,District Attorney,Stephen Wagstaffe,Male,White,summer_14
CA,Santa Barbara County,District Attorney,Joyce Dudley,Female,White,summer_14
CA,Santa Clara County,District Attorney,Jeffrey Rosen,Male,White,summer_14
CA,Santa Cruz County,District Attorney,Bob Lee,Male,White,summer_14
CA,Shasta County,District Attorney,Stephen Carlton,Male,White,summer_14
CA,Sierra County,District Attorney,Lawrence Allen,Male,White,summer_14
CA,Siskiyou County,District Attorney,Kirk Andrus,Male,White,summer_14
CA,Solano County,District Attorney,Don duBain,Male,White,summer_14
CA,Sonoma County,District Attorney,Jill Ravitch,Female,White,summer_14
CA,Stanislaus County,District Attorney,Birgit Fladager,Female,White,summer_14
CA,Sutter County,District Attorney,Carl Adams,Male,White,summer_14
CA,Tehama County,District Attorney,Gregg Cohen,Male,White,summer_14
CA,Trinity County,District Attorney,Michael Harper,Male,White,summer_14
CA,Tulare County,District Attorney,Tim Ward,Male,White,summer_14
CA,Tuolumne County,District Attorney,Donald Segerstrom,Male,White,summer_14
CA,Ventura County,District Attorney,Gregory Totten,Male,White,summer_14
CA,Yolo County,District Attorney,Jeff Reisig,Male,White,summer_14
CA,Yuba County,District Attorney,Patrick McGrath,Male,White,summer_14
CO,12th Judicial District,District Attorney,David Mahonee,Male,White,summer_14
CO,2nd Judicial District,District Attorney,Mitchell Morressey,Male,White,summer_14
CO,Adams County,District Attorney,Dave Young,Male,White,summer_14
CO,Arapahoe County,District Attorney,George Brauchler,Male,White,summer_14
CO,Archuleta County,County Attorney,Todd M. Starr,Male,White,summer_14
CO,Boulder County,District Attorney,Stanley L. Garnett,Male,White,summer_14
CO,CO,Attorney General,John Suthers,Male,White,summer_14
CO,El Paso County,District Attorney,Dan May,Male,White,summer_14
CO,Jefferson County,District Attorney,Peter A. Weir,Male,White,summer_14
CO,La Plata County,District Attorney,Todd Risberg,Male,White,summer_14
CO,Larimer County,District Attorney,Cliff Riedel,Male,White,summer_14
CO,Lincoln County,District Attorney,Carol Chambers,Female,White,summer_14
CO,Logan County,County Attorney,Alan Samber,Male,White,summer_14
CO,Mesa County,District Attorney,Pete Hautzinger,Male,White,summer_14
CO,Montezuma County,District Attorney,William Furse,Male,White,summer_14
CO,Prowers County,District Attorney,Jennifer Esch Swanson,Female,White,summer_14
CO,Pueblo County,District Attorney,Jeff Chostner,Male,White,summer_14
CO,Routt County,District Attorney,Brett Barkley,Male,White,summer_14
CO,Summit County,District Attorney,Bruce Brown,Male,White,summer_14
CO,Weld County,District Attorney,Kenneth R. Buck,Male,white,summer_14
CT,CT,Attorney General,George Jepsen,Male,White,summer_14
DE,DE,Attorney General,Joseph Biden III,Male,White,summer_14
FL,10th Judicial District,State Attorney,Jerry Hill,Male,White,summer_14
FL,11th Judicial District,State Attorney,Katherine Fernandez-Rundle,Female,Hispanic or Latino,summer_14
FL,12th Judicial District,State Attorney,Ed Brodsky,Unknown,Unknown,summer_14
FL,13th Judicial District,State Attorney,Mark A. Ober,Male,White,summer_14
FL,14th Judicial District,State Attorney,Glenn Hess,Male,White,summer_14
FL,15th Judicial District,State Attorney,Dave Aronberg,Male,White,summer_14
FL,16th Judicial District,State Attorney,Catherine Vogel,Female,White,summer_14
FL,17th Judicial District,State Attorney,Michael J. Satz,Male,White,summer_14
FL,18th Judicial District,State Attorney,Phil Archer,Male,White,summer_14
FL,19th Judicial District,State Attorney,Bruce H. Colton,Male,White,summer_14
FL,1st Judicial District,State Attorney,William Eddins,Male,White,summer_14
FL,20th Judicial District,State Attorney,Stephen B. Russell,Male,White,summer_14
FL,2nd Judicial District,State Attorney,William N. Meggs,Male,White,summer_14
FL,3rd Judicial District,State Attorney,Jeff Siegmeister.,Male,White,summer_14
FL,4th Judicial District,State Attorney,Angela B. Corey,Unknown,Unknown,summer_14
FL,5th Judicial District,State Attorney,Brad King,Male,White,summer_14
FL,6th Judicial District,State Attorney,Bernie McCabe,Male,White,summer_14
FL,7th Judicial District,State Attorney,"Ralph Joseph ""R.J."" Larizza",Male,White,summer_14
FL,8th Judicial District,State Attorney,Bill Cervone,Male,White,summer_14
FL,9th Judicial District,State Attorney,Jeffrey L. Ashton,Male,White,summer_14
FL,FL,Attorney General,Pam Bondi,Female,White,summer_14
GA,Alapaha District,District Attorney,Richard_L._Perryman,Male,White,summer_14
GA,Alcovy District,District Attorney,Layla_Zon,Unknown,Unknown,summer_14
GA,Appalachian District,District Attorney,B. Alison_Sosebee,Female,White,summer_14
GA,Atlanta District,District Attorney,Paul Howard Jr.,Male,Black or African American,summer_14
GA,Atlantic District,District Attorney,Tom_Durden,Male,White,summer_14
GA,Augusta District,District Attorney,Ashley Wright,Female,White,summer_14
GA,Bell-Forsyth District,District Attorney,Penny Penn,Female,White,summer_14
GA,Blue Ridge District,District Attorney,Shannon_Wallace,Female,White,summer_14
GA,Brunswick District,District Attorney,Jackie_Johnson,Female,White,summer_14
GA,Chattahoochee District,District Attorney,Julia Fessenden_Slater,Female,White,summer_14
GA,Cherokee District,District Attorney,Rosemary_M._Greene,Female,White,summer_14
GA,Clayton District,District Attorney,Tracy_Graham Lawson,Female,White,summer_14
GA,Cobb District,District Attorney,D. Victor_Reynolds,Male,White,summer_14
GA,Conasauga District,District Attorney,Bert_Poston,Male,White,summer_14
GA,Cordele District,District Attorney,Denise_Fachini,Female,White,summer_14
GA,Coweta District,District Attorney,Peter_J._Skandalakis,Male,White,summer_14
GA,Dougherty District,District Attorney,Gregory Edwards,Male,Black or African American,summer_14
GA,Douglas District,District Attorney,David McDade,Unknown,Unknown,summer_14
GA,Dublin District,District Attorney,Craig_Fraser,Male,White,summer_14
GA,Eastern District,District Attorney,Meg Heap,Female,White,summer_14
GA,Enotah District,District Attorney,Jeff Langley,Unknown,Unknown,summer_14
GA,Flint District,District Attorney,James Wright III,Male,White,summer_14
GA,GA,Attorney General,Sam Olens,Male,White,summer_14
GA,Griffin District,District Attorney,Scott_Ballard,Male,White,summer_14
GA,Gwinnett District,District Attorney,Daniel_Porter,Male,White,summer_14
GA,Houston District,District Attorney,George Hartwig,Male,White,summer_14
GA,Lookout Mountain District,District Attorney,Herbert Franklin,Male,White,summer_14
GA,Macon District,District Attorney,K. David_Cooke,Male,White,summer_14
GA,Middle District,District Attorney,Hayward_Altman,Male,White,summer_14
GA,Mountain District,District Attorney,Brian_M._Rickman,Male,White,summer_14
GA,Northeastern District,District Attorney,Lee_Darragh,Male,White,summer_14
GA,Northern District,District Attorney,D. Parks_White,Male,White,summer_14
GA,Ocmulgee District,District Attorney,Fred D._Bright,Male,White,summer_14
GA,Oconee District,District Attorney,Timothy_Vaughn,Male,White,summer_14
GA,Ogeechee District,District Attorney,Richard_Mallard,Male,White,summer_14
GA,Pataula District,District Attorney,T. Craig_Earnest,Male,White,summer_14
GA,Paulding District,District Attorney,Dick_Donovan,Male,White,summer_14
GA,Piedmont District,District Attorney,Brad_Smith,Male,White,summer_14
GA,Rockdale District,District Attorney,Richard_Read,Male,White,summer_14
GA,Rome District,District Attorney,Leigh_Patterson,Female,White,summer_14
GA,South Georgia District,District Attorney,Joe_Mulholland,Male,White,summer_14
GA,Southern District,District Attorney,J. David_Miller,Male,White,summer_14
GA,Southwestern District,District Attorney,Plez_Hardin,Male,White,summer_14
GA,Stone Mountain District,District Attorney,Robert_James,Male,Black or African American,summer_14
GA,Tallapoosa District,District Attorney,Jack_Browning,Male,White,summer_14
GA,Tifton District,District Attorney,C. Paul_Bowden,Male,White,summer_14
GA,Toombs District,District Attorney,Dennis_C._Sanders,Male,White,summer_14
GA,Towaliga District,District Attorney,Richard_Milam,Male,White,summer_14
GA,Waycross District,District Attorney,George_Barnhill,Male,White,summer_14
GA,Western District,District Attorney,Ken_Mauldin,Male,White,summer_14
IA,Adair,County Attorney,Mike Maynes,Male,White,summer_14
IA,Adams,County Attorney,Duane L. Golden,Male,White,summer_14
IA,Allamakee,County Attorney,Jill Kistler,Female,White,summer_14
IA,Appanoose,County Attorney,Richard Scott,Female,White,summer_14
IA,Audubon,County Attorney,Francine Andersen,Female,White,summer_14
IA,Black Hawk,County Attorney,Tom Ferguson,Male,White,summer_14
IA,Boone,County Attorney,Dan Kolacia,Male,White,summer_14
IA,Bremer,County Attorney,Kasey Wadding,Male,White,summer_14
IA,Buchanan,County Attorney,Shawn Harden,Male,White,summer_14
IA,Buena Vista,County Attorney,Dave Patton,Male,White,summer_14
IA,Butler,County Attorney,Greg Lievens,Male,White,summer_14
IA,Calhoun,County Attorney,Tina Meth-Farrington,Female,White,summer_14
IA,Carroll,County Attorney,John Werden,Male,White,summer_14
IA,Cass,County Attorney,Daniel Feistner,Male,White,summer_14
IA,Cedar,County Attorney,Jeffrey Renander,Unknown,Unknown,summer_14
IA,Cerro Gordo,County Attorney,Carlyle Dalen,Male,White,summer_14
IA,Cherokee,County Attorney,Ryan Kolpin,Male,White,summer_14
IA,Chickasaw,County Attorney,Patrick Wegman,Male,White,summer_14
IA,Clarke,County Attorney,Michelle Rivera,Female,Hispanic or Latino,summer_14
IA,Clay,County Attorney,Michael Houchins,Male,White,summer_14
IA,Clayton,County Attorney,Alan Heavens,Male,White,summer_14
IA,Clinton,County Attorney,Mike Wolf,Male,White,summer_14
IA,Crawford,County Attorney,Michael Mundt,Male,White,summer_14
IA,Dallas,County Attorney,Wayne Reisetter,Male,White,summer_14
IA,Decatur,County Attorney,Lisa Hyden-Jeanes,Female,White,summer_14
IA,Delaware,County Attorney,John Bernau,Male,White,summer_14
IA,Des Moines,County Attorney,Patrick Jackson,Male,White,summer_14
IA,Dickinson,County Attorney,Jon Martin,Male,White,summer_14
IA,Dubuque,County Attorney,Ralph Potter,Male,White,summer_14
IA,Emmet,County Attorney,Douglas Hansen,Male,White,summer_14
IA,Fayette,County Attorney,W. Wayne Saur,Male,White,summer_14
IA,Floyd,County Attorney,Normand Klemesrud,Male,White,summer_14
IA,Franklin,County Attorney,Daniel Wiechmann,Male,White,summer_14
IA,Fremont,County Attorney,Jon Jacobmeier,Male,White,summer_14
IA,Greene,County Attorney,Nicola Martino,Male,White,summer_14
IA,Grundy,County Attorney,Kirby Schmidt,Male,White,summer_14
IA,Guthrie,County Attorney,Mary Benton,Female,White,summer_14
IA,Hamilton,County Attorney,Patrick Chambers,Male,White,summer_14
IA,Hancock,County Attorney,David Solheim,male,white,summer_14
IA,Hardin,County Attorney,Randall Tilton,Male,White,summer_14
IA,Harrison,County Attorney,Jennifer Mumm,Female,White,summer_14
IA,Henry,County Attorney,Darin Stater,Male,White,summer_14
IA,Howard,County Attorney,Alex Koenigs,Male,white,summer_14
IA,Humboldt,County Attorney,Jonathan Beaty,Male,White,summer_14
IA,IA,Attorney General,Tom Miller,Male,White,summer_14
IA,Ida,County Attorney,Megan Cosgrove-Whitmer,Female,White,summer_14
IA,Iowa,County Attorney,Tim McMeen,Male,White,summer_14
IA,Jackson,County Attorney,Chris Raker,Male,White,summer_14
IA,Jasper,County Attorney,Mike Jacobsen,Male,White,summer_14
IA,Jefferson,County Attorney,Timothy Dille,Male,White,summer_14
IA,Johnson,County Attorney,Janet Lyness,Female,White,summer_14
IA,Jones,County Attorney,Phil Parsons,Male,White,summer_14
IA,Keokuk,County Attorney,John Schroeder,Male,White,summer_14
IA,Kossuth,County Attorney,Todd Holmes,Male,White,summer_14
IA,Lee,County Attorney,Michael Short,Male,White,summer_14
IA,Linn,County Attorney,Jerry Vander Sanden,Unknown,Unknown,summer_14
IA,Louisa,County Attorney,Adam Parsons,Male,White,summer_14
IA,Lucas,County Attorney,Paul Goldsmith,Male,White,summer_14
IA,Lyon,County Attorney,Shayne Mayer,Female,White,summer_14
IA,Madison,County Attorney,Julie Forsyth,Female,White,summer_14
IA,Mahaska,County Attorney,Rose Anne Mefford,Female,White,summer_14
IA,Marion,County Attorney,Ed Bull,Male,White,summer_14
IA,Marshall,County Attorney,Jennifer Miller,Female,White,summer_14
IA,Mills,County Attorney,Eric Hansen,Male,White,summer_14
IA,Mitchell,County Attorney,Mark Walk,Male,White,summer_14
IA,Monona,County Attorney,Michael Paul Jensen,Male,White,summer_14
IA,Monroe,County Attorney,Steven Goodlow,Male,White,summer_14
IA,Montgomery,County Attorney,Bruce Swanson,Male,White,summer_14
IA,Muscatine,County Attorney,Alan Ostergren,Male,White,summer_14
IA,O'Brien,County Attorney,Micah Schreurs,Male,White,summer_14
IA,Osceola,County Attorney,Bob Hansen,Male,White,summer_14
IA,Page,County Attorney,Jeremy Peterson,Male,White,summer_14
IA,Palo Alto,County Attorney,Lyssa Henderson,Female,White,summer_14
IA,Plymouth,County Attorney,Darin Raymond,Male,White,summer_14
IA,Pocahontas,County Attorney,Ann Beneke,Female,White,summer_14
IA,Polk,County Attorney,John Sarcone,Male,White,summer_14
IA,Pottawattamie,County Attorney,Matthew Wilber,Male,White,summer_14
IA,Poweshiek,County Attorney,Rebecca Petig,Unknown,Unknown,summer_14
IA,Ringgold,County Attorney,Clint Spurrier,Male,White,summer_14
IA,Sac,County Attorney,Ben Smith,Male,White,summer_14
IA,Scott,County Attorney,Michael Walton,Male,White,summer_14
IA,Shelby,County Attorney,Marcus Gross,Male,White,summer_14
IA,Sioux,County Attorney,Coleman McAllister,Male,White,summer_14
IA,Story,County Attorney,Stephen H. Holmes,Male,White,summer_14
IA,Tama,County Attorney,Brent Heeren,Male,White,summer_14
IA,Taylor,County Attorney,Clinton Spurrier,Male,White,summer_14
IA,Union,County Attorney,Tim Kenyon,Male,White,summer_14
IA,Van Buren,County Attorney,H. Craig Miller,Male,White,summer_14
IA,Wapello,County Attorney,Lisa Holl,Female,White,summer_14
IA,Warren,County Attorney,John Criswell,Male,White,summer_14
IA,Washington,County Attorney,Larry Brock,Male,White,summer_14
IA,Wayne,County Attorney,Alan Wilson,Male,White,summer_14
IA,Webster,County Attorney,Cori Kuhn Coleman,Female,White,summer_14
IA,Winnebago,County Attorney,Adam Sauer,Male,White,summer_14
IA,Winneshiek,County Attorney,Andrew Van Der Maaten,Male,White,summer_14
IA,Woodbury,County Attorney,Patrick Jennings,Male,Black or African American,summer_14
IA,Worth,County Attorney,Jeffrey Greve,Male,White,summer_14
IA,Wright,County Attorney,Eric Simonson,Male,White,summer_14
ID,Ada County,Prosecuting Attorney,Greg Bower,Male,White,summer_14
ID,Adams County,Prosecuting Attorney,Michael Ray Robinson,Male,White,summer_14
ID,Bannock County,Prosecuting Attorney,Mark Hiedeman,Male,White,summer_14
ID,Bear Lake County,Prosecuting Attorney,Steven A. Wuthrich,Male,White,summer_14
ID,Benewah County,Prosecuting Attorney,Douglas Payne,Male,White,summer_14
ID,Bingham County,Prosecuting Attorney,J. Scott Andrew,Male,White,summer_14
ID,Blaine County,Prosecuting Attorney,Jim Thomas,Male,White,summer_14
ID,Boise County,Prosecuting Attorney,Ian Gee,Male,White,summer_14
ID,Bonneville County,Prosecuting Attorney,Bruce Pickett,Male,White,summer_14
ID,Boundary County,Prosecuting Attorney,Jack Douglas,Male,White,summer_14
ID,Butte County,Prosecuting Attorney,Steve Stephens,Male,White,summer_14
ID,Camas County,Prosecuting Attorney,Matt Pember,Unknown,Unknown,summer_14
ID,Canyon County,Prosecuting Attorney,Bryan Taylor,Male,White,summer_14
ID,Caribou County,Prosecuting Attorney,Doug Wood,Unknown,Unknown,summer_14
ID,Cassia County,Prosecuting Attorney,Alfred Barrus,Male,White,summer_14
ID,Clark County,Prosecuting Attorney,Kent Gauchay,Male,White,summer_14
ID,Clearwater County,Prosecuting Attorney,E. Clayne Tyler,Unknown,Unknown,summer_14
ID,Custer County,Prosecuting Attorney,Val Siegel,Male,White,summer_14
ID,Elmore County,Prosecuting Attorney,Kristina Schindele,Female,White,summer_14
ID,Franklin County,Prosecuting Attorney,Vic Pearson,Male,White,summer_14
ID,Fremont County,Prosecuting Attorney,Karl Lewies,Male,White,summer_14
ID,Gem County,Prosecuting Attorney,Richard Linville,Male,White,summer_14
ID,ID,Attorney General,Lawrence Wasden,Male,White,summer_14
ID,Idaho County,Prosecuting Attorney,Kirk MacGregor,Male,White,summer_14
ID,Jefferson County,Prosecuting Attorney,Robin Dunn,Male,White,summer_14
ID,Jerome County,Prosecuting Attorney,John Horgan,Male,White,summer_14
ID,Kootenai County,Prosecuting Attorney,Barry McHugh,Male,White,summer_14
ID,Latah County,Prosecuting Attorney,Bill Thompson,Male,White,summer_14
ID,Lemhi County,Prosecuting Attorney,Paul Withers,Male,White,summer_14
ID,Lewis County,Prosecuting Attorney,Zachary Pall,Male,White,summer_14
ID,Lincoln County,Prosecuting Attorney,E. Scott Paul,Male,White,summer_14
ID,Madison County,Prosecuting Attorney,Sid Brown,Male,White,summer_14
ID,Minidoka County,Prosecuting Attorney,Lance Stevenson,Male,White,summer_14
ID,Nez Perce County,Prosecuting Attorney,Daniel Spickler,Male,White,summer_14
ID,Oneida County,Prosecuting Attorney,Dustin Smith,Male,White,summer_14
ID,Owyhee County,Prosecuting Attorney,Douglas Emery,Male,White,summer_14
ID,Payette County,Prosecuting Attorney,Anne Marie Kelso,Female,White,summer_14
ID,Power County,Prosecuting Attorney,Ryan C. Petersen,Male,White,summer_14
ID,Shoshone County,Prosecuting Attorney,Keisha Oxendine,Unknown,Unknown,summer_14
ID,Teton County,Prosecuting Attorney,Kathy Spitzer,Female,White,summer_14
ID,Twin Falls County,Prosecuting Attorney,Grant Loebs,Male,White,summer_14
ID,Valley County,Prosecuting Attorney,Jay Juhani Kiiha,Male,White,summer_14
ID,Washington County,Prosecuting Attorney,Delton Walker,Male,White,summer_14
IL,Adams County,State's Attorney,Jonathan Barnard,Male,White,summer_14
IL,Alexander County,State's Attorney,Jeffery Farris,Male,White,summer_14
IL,Bond County,State's Attorney,Christopher Bauer,Male,White,summer_14
IL,Boone County,State's Attorney,Michelle Courier,Female,White,summer_14
IL,Brown County,State's Attorney,Mark Vincent,Male,White,summer_14
IL,Calhoun County,State's Attorney,Charles Burch,Male,White,summer_14
IL,Carroll County,State's Attorney,Scott Brinkmeier,Male,White,summer_14
IL,Cass County,State's Attorney,John Dahlem,Male,White,summer_14
IL,Champaign County,State's Attorney,Julia Rietz,Female,White,summer_14
IL,Christian County,State's Attorney,Thomas Finks,Male,White,summer_14
IL,Clay County,State's Attorney,Marilyn Brant,Female,White,summer_14
IL,Clinton County,State's Attorney,John Hudspeth,Male,White,summer_14
IL,Cook County,State's Attorney,Anita Alvarez,Female,Hispanic or Latino,summer_14
IL,Crawford County,State's Attorney,Tom Wiseman,Male,White,summer_14
IL,Cumberland County,State's Attorney,Johnathan Braden,Male,White,summer_14
IL,De Witt County,State's Attorney,Karle Koritz,Male,White,summer_14
IL,DeKalb County,State's Attorney,Richard Schmack,Male,White,summer_14
